Categoría: Todas las categoría;;;;
;;;;
Mes;Zapatillas: (Chile);Zapatos: (Chile);Top: (Chile);Bláiser: (Chile)
2014-01;12;15;23;1
2014-02;14;18;23;1
2014-03;16;20;20;1
2014-04;15;20;21;1
2014-05;14;22;22;1
2014-06;13;20;20;1
2014-07;15;19;24;1
2014-08;18;20;23;1
2014-09;19;20;24;1
2014-10;18;22;26;1
2014-11;18;21;26;1
2014-12;22;19;30;1
2015-01;17;18;25;1
2015-02;19;21;23;1
2015-03;19;23;20;1
2015-04;20;27;19;1
2015-05;20;26;19;1
2015-06;19;24;19;1
2015-07;19;23;19;1
2015-08;23;24;19;1
2015-09;25;23;19;1
2015-10;25;24;19;2
2015-11;24;24;18;2
2015-12;28;23;20;2
2016-01;20;19;20;1
2016-02;23;24;19;1
2016-03;23;23;17;1
2016-04;22;29;17;1
2016-05;22;25;16;1
2016-06;21;23;16;1
2016-07;24;23;18;1
2016-08;26;21;17;1
2016-09;34;24;16;2
2016-10;28;25;17;2
2016-11;26;24;17;2
2016-12;35;23;18;2
2017-01;22;20;18;1
2017-02;26;25;17;1
2017-03;27;26;15;1
2017-04;25;27;14;1
2017-05;22;26;15;1
2017-06;21;22;14;1
2017-07;24;22;15;1
2017-08;27;24;13;2
2017-09;33;27;14;2
2017-10;28;27;14;2
2017-11;31;28;14;3
2017-12;41;25;16;2
2018-01;26;22;16;1
2018-02;33;27;15;1
2018-03;31;27;13;2
2018-04;26;30;13;2
2018-05;29;30;13;2
2018-06;23;25;13;1
2018-07;26;23;13;1
2018-08;30;24;13;2
2018-09;37;26;13;2
2018-10;36;29;13;3
2018-11;30;26;14;3
2018-12;41;24;16;2
2019-01;27;22;14;2
2019-02;31;24;14;1
2019-03;35;28;12;2
2019-04;30;27;12;2
2019-05;35;30;13;2
2019-06;28;25;14;2
2019-07;31;24;16;2
2019-08;38;24;14;2
2019-09;41;25;14;2
2019-10;40;24;14;2
2019-11;34;22;14;2
2019-12;47;24;18;3
2020-01;34;23;15;2
2020-02;40;25;15;2
2020-03;28;18;14;2
2020-04;27;19;16;1
2020-05;29;22;16;2
2020-06;32;23;17;2
2020-07;39;21;16;1
2020-08;74;25;17;2
2020-09;74;25;18;2
2020-10;55;22;17;2
2020-11;65;22;17;3
2020-12;67;22;18;3
2021-01;54;19;18;2
2021-02;51;20;16;2
2021-03;48;21;14;1
2021-04;45;22;14;1
2021-05;69;29;16;2
2021-06;70;28;15;1
2021-07;57;25;17;2
2021-08;62;26;15;3
2021-09;65;27;15;3
2021-10;68;28;15;4
2021-11;60;25;15;4
2021-12;72;27;17;4
2022-01;53;23;19;3
2022-02;66;30;18;3
2022-03;66;31;16;4
2022-04;58;33;16;4
2022-05;60;32;24;3
2022-06;55;31;28;3
2022-07;55;29;22;3
2022-08;67;29;21;4
2022-09;66;31;19;4
2022-10;83;33;20;6
2022-11;65;32;18;6
2022-12;82;31;23;5
2023-01;66;30;23;4
2023-02;79;35;19;4
2023-03;71;33;18;4
2023-04;66;34;17;4
2023-05;75;35;17;4
2023-06;63;32;17;3
2023-07;67;30;18;4
2023-08;70;29;18;4
2023-09;74;32;17;4
2023-10;91;31;18;6
2023-11;81;31;17;7
2023-12;97;31;21;6
2024-01;68;28;26;3
2024-02;75;31;28;3
2024-03;72;30;25;4
2024-04;64;28;18;4
2024-05;57;30;19;3
2024-06;74;31;19;3
2024-07;59;26;18;3
2024-08;66;27;17;4
2024-09;83;29;19;5
2024-10;74;28;21;6
2024-11;75;29;26;6
2024-12;100;29;29;6
