Período,Tasa de desempleo (Porcentaje),PIB trimestral (USD),PIB variación respecto del trimestre anterior (%) 
dic-2024,8.1,"330,140.40",12.37
Nov-24,8.2,,
Oct-24,8.6,,
Sep-24,8.7,"326,227.58",0.34
ago-2024,8.9,,
Jul-24,8.7,,
Jun-24,8.3,"325,560.17",-1.88
May-24,8.3,,
abr-2024,8.5,,
Mar-24,8.7,"331,025.99",1.52
Feb-24,8.5,,
ene-2024,8.4,,
dic-2023,8.5,"335,884.61",10.55
Nov-23,8.7,,
Oct-23,8.9,,
Sep-23,8.9,"330,195.33",-0.67
ago-2023,9,,
Jul-23,8.8,,
Jun-23,8.5,"319,369.10",-1.4
May-23,8.5,,
abr-2023,8.7,,
Mar-23,8.8,"309,019.02",-2.97
Feb-23,8.4,,
ene-2023,8,,
dic-2022,7.9,"301,862.73",11.68
Nov-22,7.9,,
Oct-22,8,,
Sep-22,8,"304,675.71",1.34
ago-2022,7.9,,
Jul-22,7.9,,
Jun-22,7.8,"311,879.54",-0.36
May-22,7.8,,
abr-2022,7.7,,
Mar-22,7.8,"316,078.67",-5.11
Feb-22,7.5,,
ene-2022,7.3,,
dic-2021,7.2,"315,201.36",13.51
Nov-21,7.5,,
Oct-21,8.1,,
Sep-21,8.4,"308,305.56",3.76
ago-2021,8.5,,
Jul-21,8.9,,
Jun-21,9.5,"292,439.90",1.09
May-21,10,,
abr-2021,10.2,,
Mar-21,10.4,"268,794.24",-0.64
Feb-21,10.3,,
ene-2021,10.2,,
dic-2020,10.3,"254,662.01",19.53
Nov-20,10.8,,
Oct-20,11.6,,
Sep-20,12.3,"247,960.64",2.99
ago-2020,12.9,,
Jul-20,13.1,,
Jun-20,12.2,"254,504.60",-9.89
May-20,11.2,,
abr-2020,9,,
Mar-20,8.2,"269,493.50",0.06
Feb-20,7.8,,
ene-2020,7.4,,
dic-2019,7.1,"278,569.86",7.67
Nov-19,7,,
Oct-19,7.1,,
Sep-19,7.3,"285,154.71",-2.22
ago-2019,7.6,,
Jul-19,7.5,,
Jun-19,7.3,"285,899.68",-0.04
May-19,7.2,,
abr-2019,7.1,,
Mar-19,7.2,"290,703.93",-3.69
Feb-19,7,,
ene-2019,7.1,,
dic-2018,7.1,"296,040.54",11.9
Nov-18,7.3,,
Oct-18,7.4,,
Sep-18,7.5,"298,131.83",-4.26
ago-2018,7.7,,
Jul-18,7.9,,
Jun-18,7.5,"297,846.78",0.08
May-18,7.4,,
abr-2018,7,,
Mar-18,7.4,"288,090.02",-2.8
Feb-18,7,,
ene-2018,6.8,,
dic-2017,6.5,"276,468.44",10.97
Nov-17,6.7,,
Oct-17,7,,
Sep-17,7,"267,540.06",-0.67
ago-2017,6.9,,
Jul-17,7.2,,
Jun-17,7.3,"261,163.62",0.71
May-17,7.3,,
abr-2017,7.1,,
Mar-17,7,"255,996.26",-2.96
Feb-17,6.8,,
ene-2017,6.4,,
dic-2016,6.2,"249,507.95",10.55
Nov-16,6.4,,
Oct-16,6.7,,
Sep-16,7,"242,563.08",-1.51
ago-2016,7.1,,
Jul-16,7.3,,
Jun-16,7,"237,365.62",-2.06
May-16,7,,
abr-2016,6.6,,
Mar-16,6.5,"239,994.08",-0.24
Feb-16,6,,
ene-2016,5.9,,
dic-2015,5.9,"242,948.39",11.09
Nov-15,6.2,,
Oct-15,6.4,,
Sep-15,6.5,"249,316.32",-3.11
ago-2015,6.6,,
Jul-15,6.7,,
Jun-15,6.7,"254,571.31",-0.2
May-15,6.8,,
abr-2015,6.4,,
Mar-15,6.2,"257,069.66",-1.75
Feb-15,6.2,,
ene-2015,6.2,,
dic-2014,6.2,"259,513.35",12.95
Nov-14,6.2,,
Oct-14,6.6,,
Sep-14,6.8,"264,335.08",-3.19
ago-2014,6.8,,
Jul-14,6.6,,
Jun-14,6.5,"267,928.29",1.45
May-14,6.3,,
abr-2014,6.1,,
Mar-14,6.5,"271,992.82",-2.53
Feb-14,6.2,,
ene-2014,6.2,,
