Período,Tasa de desempleo (Porcentaje),PIB variación respecto del trimestre anterior (%) ,IPC variación respecto del mes anterior (%) ,
dic-2024,8.1,12.37,-0.2,
Nov-24,8.2,12.37,0.2,
Oct-24,8.6,12.37,1,
Sep-24,8.7,0.34,0.1,
ago-2024,8.9,0.34,0.3,
Jul-24,8.7,0.34,0.7,
Jun-24,8.3,-1.88,-0.1,
May-24,8.3,-1.88,0.3,
abr-2024,8.5,-1.88,0.5,
Mar-24,8.7,1.52,0.4,
Feb-24,8.5,1.52,0.6,
ene-2024,8.4,1.52,0.7,
dic-2023,8.5,10.55,-0.5,
Nov-23,8.7,10.55,0.7,
Oct-23,8.9,10.55,0.4,
Sep-23,8.9,-0.67,0.7,
ago-2023,9,-0.67,0.1,
Jul-23,8.8,-0.67,0.4,
Jun-23,8.5,-1.40,-0.2,
May-23,8.5,-1.4,0.1,
abr-2023,8.7,-1.4,0.3,
Mar-23,8.8,-2.97,1.1,
Feb-23,8.4,-2.97,-0.1,
ene-2023,8,-2.97,0.8,
dic-2022,7.9,11.68,0.3,
Nov-22,7.9,11.68,1,
Oct-22,8,11.68,0.5,
Sep-22,8,1.34,0.9,
ago-2022,7.9,1.34,1.2,
Jul-22,7.9,1.34,1.4,
Jun-22,7.8,-0.36,0.9,
May-22,7.8,-0.36,1.2,
abr-2022,7.7,-0.36,1.4,
Mar-22,7.8,-5.11,1.9,
Feb-22,7.5,-5.11,0.3,
ene-2022,7.3,-5.11,1.2,
dic-2021,7.2,13.51,0.8,
Nov-21,7.5,13.51,0.5,
Oct-21,8.1,13.51,1.3,
Sep-21,8.4,3.76,1.2,
ago-2021,8.5,3.76,0.4,
Jul-21,8.9,3.76,0.8,
Jun-21,9.5,1.09,0.1,
May-21,10,1.09,0.3,
abr-2021,10.2,1.09,0.4,
Mar-21,10.4,-0.64,0.4,
Feb-21,10.3,-0.64,0.2,
ene-2021,10.2,-0.64,0.7,
dic-2020,10.3,19.53,0.3,
Nov-20,10.8,19.53,-0.1,
Oct-20,11.6,19.53,0.7,
Sep-20,12.3,2.99,0.6,
ago-2020,12.9,2.99,0.1,
Jul-20,13.1,2.99,0.1,
Jun-20,12.2,-9.89,-0.1,
May-20,11.2,-9.89,-0.1,
abr-2020,9,-9.89,0,
Mar-20,8.2,0.06,0.3,
Feb-20,7.8,0.06,0.4,
ene-2020,7.4,0.06,0.6,
dic-2019,7.1,7.67,0.1,
Nov-19,7,7.67,0.1,
Oct-19,7.1,7.67,0.8,
Sep-19,7.3,-2.22,0,
ago-2019,7.6,-2.22,0.2,
Jul-19,7.5,-2.22,0.2,
Jun-19,7.3,-0.04,0,
May-19,7.2,-0.04,0.6,
abr-2019,7.1,-0.04,0.3,
Mar-19,7.2,-3.69,0.5,
Feb-19,7,-3.69,0,
ene-2019,7.1,-3.69,0.1,
dic-2018,7.1,11.90,-0.1,
Nov-18,7.3,11.9,0,
Oct-18,7.4,11.9,0.4,
Sep-18,7.5,-4.26,0.3,
ago-2018,7.7,-4.26,0.2,
Jul-18,7.9,-4.26,0.4,
Jun-18,7.5,0.08,0.1,
May-18,7.4,0.08,0.3,
abr-2018,7,0.08,0.3,
Mar-18,7.4,-2.80,0.2,
Feb-18,7,-2.8,0,
ene-2018,6.8,-2.8,0.5,
dic-2017,6.5,10.97,0.1,
Nov-17,6.7,10.97,0.1,
Oct-17,7,10.97,0.6,
Sep-17,7,-0.67,-0.2,
ago-2017,6.9,-0.67,0.2,
Jul-17,7.2,-0.67,0.2,
Jun-17,7.3,0.71,-0.4,
May-17,7.3,0.71,0.1,
abr-2017,7.1,0.71,0.2,
Mar-17,7,-2.96,0.4,
Feb-17,6.8,-2.96,0.2,
ene-2017,6.4,-2.96,0.5,
dic-2016,6.2,10.55,-0.2,
Nov-16,6.4,10.55,0.1,
Oct-16,6.7,10.55,0.2,
Sep-16,7,-1.51,0.2,
ago-2016,7.1,-1.51,0,
Jul-16,7.3,-1.51,0.2,
Jun-16,7,-2.06,0.4,
May-16,7,-2.06,0.2,
abr-2016,6.6,-2.06,0.3,
Mar-16,6.5,-0.24,0.4,
Feb-16,6,-0.24,0.3,
ene-2016,5.9,-0.24,0.5,
dic-2015,5.9,11.09,0,
Nov-15,6.2,11.09,0,
Oct-15,6.4,11.09,0.4,
Sep-15,6.5,-3.11,0.5,
ago-2015,6.6,-3.11,0.7,
Jul-15,6.7,-3.11,0.4,
Jun-15,6.7,-0.20,0.5,
May-15,6.8,-0.2,0.2,
abr-2015,6.4,-0.2,0.6,
Mar-15,6.2,-1.75,0.6,
Feb-15,6.2,-1.75,0.4,
ene-2015,6.2,-1.75,0.1,
dic-2014,6.2,12.95,-0.4,
Nov-14,6.2,12.95,0,
Oct-14,6.6,12.95,1,
Sep-14,6.8,-3.19,0.8,
ago-2014,6.8,-3.19,0.3,
Jul-14,6.6,-3.19,0.2,
Jun-14,6.5,1.45,0.1,
May-14,6.3,1.45,0.3,
abr-2014,6.1,1.45,0.6,
Mar-14,6.5,-2.53,0.8,
Feb-14,6.2,-2.53,0.5,
ene-2014,6.2,-2.53,0.2,
,,,,
,,,,
,,,,
